"URL","Page title","Page type","Current clicks","Previous clicks","Current impressions","Previous impressions","Average position","CTR","Estimated buyer intent","Existing monetization","Recommended action","Priority","Confidence level"
"https://backyardsaunapro.com/about/","About Backyard Sauna Pro","trust or utility page","","","","","","","Low-medium","","Await analytics data","Medium","Low - no matching Search Console row"
"https://backyardsaunapro.com/affiliate-disclosure/","Affiliate Disclosure Backyard Sauna Pro","trust or utility page","0","0","13","0","","","Low-medium","","Await analytics data","Medium","Medium - Search Console 28-day comparison available; position unavailable"
"https://backyardsaunapro.com/best-saunas/","Best Home Saunas of 2026: Top Picks for Every Budget","buying guide","","","","","","","High","","Validate products, methodology, CTA, and traffic","High","Low - no matching Search Console row"
"https://backyardsaunapro.com/brands/almost-heaven-sauna-review/","Almost Heaven Saunas Review (2025): Brand Overview and Best Models","brand review","","","","","","","High","Amazon; Select Saunas","Validate products, methodology, CTA, and traffic","High","Low - no matching Search Console row"
"https://backyardsaunapro.com/brands/dundalk-leisurecraft-review/","Dundalk LeisureCraft Sauna Review (2025): Worth It?","brand review","","","","","","","High","Select Saunas","Validate products, methodology, CTA, and traffic","High","Low - no matching Search Console row"
"https://backyardsaunapro.com/brands/dynamic-saunas-review/","Dynamic Saunas Review (2025): Barcelona, Andora, and Which to Buy","brand review","","","","","","","High","Amazon","Validate products, methodology, CTA, and traffic","High","Low - no matching Search Console row"
"https://backyardsaunapro.com/brands/finnish-sauna-builders-review/","Finnish Sauna Builders Review (2025): Who It","brand review","","","","","","","High","","Validate products, methodology, CTA, and traffic","High","Low - no matching Search Console row"
"https://backyardsaunapro.com/brands/finnleo-sauna-review/","Finnleo Sauna Review (2025): Quality, Pricing, and Who It","brand review","","","","","","","High","Amazon","Validate products, methodology, CTA, and traffic","High","Low - no matching Search Console row"
"https://backyardsaunapro.com/brands/harvia-sauna-heater-review/","Harvia Sauna Heaters Review (2025): KIP, M3, Cilindro and More","brand review","0","0","6","0","","","High","Amazon","Validate products, methodology, CTA, and traffic","High","Medium - Search Console 28-day comparison available; position unavailable"
"https://backyardsaunapro.com/brands/huum-sauna-heater-review/","HUUM Sauna Heater Review (2025): Is It Worth Buying?","brand review","0","0","47","36","","","High","Amazon","Validate products, methodology, CTA, and traffic","High","Medium - Search Console 28-day comparison available; position unavailable"
"https://backyardsaunapro.com/brands/","Sauna Brand Reviews | Backyard Sauna Pro","brand hub","","","","","","","Low-medium","","Await analytics data","Medium","Low - no matching Search Console row"
"https://backyardsaunapro.com/brands/redwood-outdoors-sauna-review/","Redwood Outdoors Sauna Review (2025): Worth the Price?","brand review","0","0","13","7","","","High","","Validate products, methodology, CTA, and traffic","High","Medium - Search Console 28-day comparison available; position unavailable"
"https://backyardsaunapro.com/brands/sun-home-saunas-review/","Sun Home Saunas Review (2026): Equinox, Luminar, Eclipse Compared","brand review","","","","","","","High","Sun Home","Protected: inspect only","Protected","Low - no matching Search Console row"
"https://backyardsaunapro.com/contact/","Contact Backyard Sauna Pro","trust or utility page","","","","","","","Low-medium","","Await analytics data","Medium","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/almost-heaven-barrel-sauna/","Almost Heaven Barrel Sauna Review (2025): Models & Prices","informational guide","","","","","","","Low-medium","Amazon","Await analytics data","Medium","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/barrel-sauna-costco/","Costco Barrel Sauna: Is It Worth It? (2025 Review)","planning guide","","","","","","","Medium-high","Amazon","Await analytics data","Medium","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/barrel-sauna-vs-cabin-sauna/","Barrel Sauna vs Cabin Sauna: Which Should You Buy? (2025)","comparison","","","","","","","Medium-high","Amazon","Validate products, methodology, CTA, and traffic","High","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/best-1-person-sauna/","Best 1-Person Sauna (2025): Indoor and Outdoor Picks","buying guide","","","","","","","High","Amazon","Validate products, methodology, CTA, and traffic","High","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/best-2-person-outdoor-sauna/","Best 2-Person Outdoor Saunas of 2026: 4 Top Picks","buying guide","0","0","508","337","","","High","Amazon; Sun Home; Kit capture","Validate products, methodology, CTA, and traffic","High","Medium - Search Console 28-day comparison available; position unavailable"
"https://backyardsaunapro.com/guides/best-2-person-sauna/","Best 2-Person Sauna (2025): Outdoor, Indoor, and Plug-In Options","buying guide","","","","","","","High","Amazon","Validate products, methodology, CTA, and traffic","High","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/best-3-person-sauna/","Best 3-Person Saunas (2026): Top Picks for Groups & Families","buying guide","","","","","","","High","Amazon; Sun Home","Validate products, methodology, CTA, and traffic","High","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/best-4-person-outdoor-sauna/","Best 4-Person Outdoor Saunas (2026): Top Picks Reviewed","buying guide","","","","","","","High","Amazon; Sun Home; Select Saunas","Validate products, methodology, CTA, and traffic","High","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/best-4-person-sauna/","Best 4-Person Sauna (2025): Top Picks for Families and Groups","buying guide","","","","","","","High","Amazon","Validate products, methodology, CTA, and traffic","High","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/best-5-person-sauna/","Best 5-Person Sauna (2025): Top Picks for Families and Small Groups","buying guide","","","","","","","High","Amazon","Validate products, methodology, CTA, and traffic","High","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/best-6-person-sauna/","Best 6-Person Sauna (2025): Top Picks for Families and Large Groups","buying guide","","","","","","","High","Amazon","Validate products, methodology, CTA, and traffic","High","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/best-barrel-sauna-kits/","Best Barrel Sauna Kits (2025): Top Picks Before You Buy","buying guide","","","","","","","High","Amazon; Select Saunas","Validate products, methodology, CTA, and traffic","High","Low - no matching Search Console row"
"https://backyardsaunapro.com/guides/best-barrel-saunas-cold-climates/","Best Barrel Saunas for Cold Climates: A Verification-First Shortlist","buying guide","","","","","","","High","Amazon","Correct unsupported firsthand/testing claim","Critical","Low - no matching Search Console row"
