"query","current_clicks","previous_clicks","click_difference","current_impressions","previous_impressions","impression_difference"
"2 person outdoor sauna","0","0","0","116","78","38"
"backyard sauna","0","0","0","80","53","27"
"two person outdoor sauna","0","0","0","68","45","23"
"outdoor vs indoor sauna","0","0","0","51","8","43"
"best portable infrared sauna","0","0","0","41","1","40"
"best portable saunas","0","0","0","40","14","26"
"best home sauna","0","0","0","37","52","-15"
"huum sauna heater review","0","0","0","29","30","-1"
"outdoor infrared sauna 2 person","0","0","0","29","29","0"
"best portable sauna","0","0","0","28","20","8"
"i want to buy an indoor sauna, any recommendations?","0","0","0","27","27","0"
"2 person saunas","0","0","0","27","5","22"
"2 person outdoor traditional sauna","0","0","0","27","21","6"
"outdoor sauna 2 person","0","0","0","26","21","5"
"best sauna kits","0","0","0","26","36","-10"
"home sauna","0","0","0","25","2","23"
"home sauna best","0","0","0","23","3","20"
"best sauna for home","0","0","0","22","9","13"
"2 person sauna outdoor","0","0","0","20","7","13"
"best 2 person sauna","0","0","0","18","17","1"
"best home saunas","0","0","0","18","23","-5"
"home sauna indoor","0","0","0","17","64","-47"
"best home sauna brands","0","0","0","16","3","13"
"sauna backrest","0","0","0","15","23","-8"
"sauna backrests","0","0","0","15","21","-6"
"outdoor 2 person sauna","0","0","0","15","2","13"
"outdoor two person sauna","0","0","0","14","13","1"
"best portable sauna 2025","0","0","0","12","8","4"
"sauna outdoor 2 person","0","0","0","12","4","8"
"hemlock sauna wood","0","0","0","12","0","12"
"best sauna backrest","0","0","0","11","12","-1"
"two person saunas","0","0","0","11","0","11"
"best portable steam sauna","0","0","0","10","7","3"
"home saunas","0","0","0","10","4","6"
"best sauna kit","0","0","0","9","26","-17"
"indoor sauna for sauna","0","0","0","9","0","9"
"residential saunas","0","0","0","8","8","0"
"2 person outdoor barrel sauna","0","0","0","8","11","-3"
"indoor sauna kits","0","0","0","7","105","-98"
"in home sauna kit","0","0","0","7","6","1"
"best portable home saunas","0","0","0","7","4","3"
"buy indoor sauna","0","0","0","7","23","-16"
"best sauna","0","0","0","7","1","6"
"2 person modern sauna","0","0","0","7","3","4"
"best personal sauna","0","0","0","7","2","5"
"best at home sauna","0","0","0","7","6","1"
"best in home sauna","0","0","0","7","3","4"
"sauna kits indoor","0","0","0","6","26","-20"
"sauna 2 person outdoor","0","0","0","6","6","0"
"indoor sauna kit","0","0","0","6","13","-7"
"two person sauna outdoor","0","0","0","6","6","0"
"best indoor sauna","0","0","0","6","2","4"
"backyard saunas","0","0","0","6","9","-3"
"top rated home saunas","0","0","0","6","11","-5"
"keys backyard sauna","0","0","0","5","2","3"
"sauna indoor kit","0","0","0","5","3","2"
"best pop up saunas","0","0","0","5","2","3"
"best tent saunas","0","0","0","5","5","0"
"in home sauna","0","0","0","5","10","-5"
"best portable sauna 2024","0","0","0","5","2","3"
"i'm looking to buy a quality indoor sauna for my home","0","0","0","5","17","-12"
"portable saunas","0","0","0","5","63","-58"
"sauna for your home","0","0","0","5","3","2"
"2 person barrel sauna","0","0","0","5","20","-15"
"best home sauna 2020","0","0","0","5","5","0"
"2 person outdorr traditional sauna","0","0","0","5","4","1"
"best home sauna 2021","0","0","0","5","3","2"
"best portable home sauna","0","0","0","5","5","0"
"quality at home sauna","0","0","0","5","0","5"
"sauna hygrometer","0","0","0","4","0","4"
"portable sauna","0","0","0","4","6","-2"
"best tent sauna","0","0","0","4","2","2"
"portable sauna reviews","0","0","0","4","2","2"
"huum","0","0","0","4","4","0"
"best home portable sauna","0","0","0","4","4","0"
"custom barrel sauna guide","0","0","0","4","0","4"
"outdoor steam sauna 2 person","0","0","0","4","1","3"
"sauna for home","0","0","0","4","0","4"
"best home sauna kits","0","0","0","4","2","2"
"indoor or outdoor sauna","0","0","0","4","0","4"
"redwood outdoors thermowood barrel sauna review","0","0","0","3","3","0"
"best portable steam sauna 2025","0","0","0","3","0","3"
"2 person outdoor saunas","0","0","0","3","2","1"
"sauna thermometer","0","0","0","3","0","3"
"best outdoor sauna for 2 people","0","0","0","3","0","3"
"best 2 person outdoor sauna","0","0","0","3","0","3"
"hottest portable sauna","0","0","0","3","1","2"
"best sauna for basement","0","0","0","3","4","-1"
"2 person sauna outdoors","0","0","0","3","1","2"
"outdoor sauna kits 2 person","0","0","0","3","0","3"
"saunas for home","0","0","0","3","0","3"
"best home steam sauna","0","0","0","3","4","-1"
"best infrared portable sauna","0","0","0","3","0","3"
"hva er de billigste alternativene for å kjøpe en sauna?","0","0","0","3","3","0"
"best at home saunas","0","0","0","3","2","1"
"best sauna home","0","0","0","3","4","-1"
"best dry saunas for home","0","0","0","3","2","1"
"keys backyard sauna review","0","0","0","2","4","-2"
"best sauna thermometer","0","0","0","2","0","2"
"sauna kit indoor","0","0","0","2","12","-10"
"best indoor sauna kits","0","0","0","2","0","2"
"harvia sauna heater review","0","0","0","2","0","2"
"best 2 person sauna outdoor","0","0","0","2","0","2"
"dynamic infrared sauna review","0","0","0","2","0","2"
