company,website,company_type,product_category,primary_contact,email,linkedin,geographic_coverage,affiliate_program,installer_network,existing_advertising,content_quality,partnership_opportunity,last_contact,status,next_action,notes,source_url,verified_date
"Sun Home Saunas","https://sunhomesaunas.com","manufacturer","saunas","","","","United States","Existing protected relationship","","Existing paid collaboration","","Existing agreement","","protected","Do not change or contact without owner approval","Protected agreement through May 15 2027","","2026-08-05"
"Redwood Outdoors","https://www.redwoodoutdoors.com","manufacturer","outdoor saunas","","","","United States","Not visible in authenticated Impact account","","","","Affiliate reactivation or product-data collaboration","","audit_required","Request written current terms only after owner review","Site coupon language removed pending verification","https://www.redwoodoutdoors.com","2026-08-05"
"Finnish Sauna Builders","https://finnishsaunabuilders.com","retailer and builder","traditional sauna kits","","info@finnishsaunabuilders.com","","United States","No referral parameter found","Likely project installation; verify","","","Dealer-lead or installation case-study pilot","2026-08-10","contacted","Monitor reply; follow up on 2026-08-17 if needed","Initial buyer-brief and product-corrections pilot inquiry sent from info@backyardsaunapro.com","https://finnishsaunabuilders.com","2026-08-10"
"Select Saunas","https://selectsaunas.com","retailer","saunas and heaters","","sales@selectsaunas.com","","United States","5% via UpPromote","Installation services offered","","","Affiliate and product-data collaboration","2026-08-06","contacted","Follow up on 2026-08-13 if no reply","Initial hybrid affiliate and paid-campaign inquiry sent from info@backyardsaunapro.com","https://selectsaunas.com/pages/affiliate-program","2026-08-05"
"Harvia North America","https://www.harvia.com/en-US/","manufacturer","heaters, saunas, controls, cold plunge","Patrick Weidl","patrick.weidl@harvia.com","","North America","Not verified","Official dealer network","","Strong manuals and product data","Product-data collaboration and documented installer guidance","2026-08-06","contacted","Follow up on 2026-08-13 if no reply","Initial product-data and educational-sponsorship inquiry sent from info@backyardsaunapro.com","https://www.harvia.com/en-US/contact/","2026-08-05"
"HUUM","https://huumsauna.com","manufacturer","heaters and controls","Keit Kiissel","sales@huum.eu","","North America","Not verified","Dealer network","","Strong manuals and product data","Product-data collaboration and heater-sizing content","2026-08-10","contacted","Monitor reply; follow up on 2026-08-17 if needed","Initial product-data and factual-review inquiry sent from info@backyardsaunapro.com","https://huumsauna.com/contacts/","2026-08-10"
"Finnleo","https://www.finnleo.com","manufacturer","indoor, outdoor, and custom saunas","","","","North America","Not verified","Authorized dealer and installer network","","Strong planning and dealer resources","Dealer-matching pilot and installation case studies","","priority","Use official contact form to verify partnership path after owner approval","Dealer network handles design, delivery, installation, and service","https://www.finnleo.com/contact-us","2026-08-05"
"SaunaLife","https://saunalife.com","manufacturer","outdoor and indoor saunas","","SalesSupport@bathingbrands.com","","North America","Not verified","Large authorized dealer network","","Strong technical document library","Product-data collaboration and dealer-matching pilot","2026-08-06","contacted","Follow up on 2026-08-13 if no reply","Consolidated SaunaLife lead-routing and product-data inquiry sent from info@backyardsaunapro.com","https://saunalife.com/find-a-dealer/","2026-08-05"
"Bathing Brands","https://www.bathingbrands.com","distributor","sauna, steam, heaters, immersion","","SalesSupport@bathingbrands.com","","North America","Reseller program","Large reseller network","","Strong technical and logistics resources","Product feed, reseller relationship, and installer/dealer routing","2026-08-06","contacted","Follow up on 2026-08-13 if no reply","Consolidated reseller and dealer-routing inquiry sent from info@backyardsaunapro.com","https://www.bathingbrands.com/become-a-partner","2026-08-05"
"Saunum","https://saunum.com","manufacturer","air-circulating heaters and climate devices","Lele Saarts-Gansen","marketing@saunum.com","","North America via Bathing Brands","Not verified","North America distributor","","Strong manuals and differentiated products","Product-data and educational collaboration","","research","Owner-review a fact-check and product-data request","North America support routes through Bathing Brands","https://saunum.com/en/contact-us/","2026-08-05"
"Almost Heaven Saunas","https://almostheaven.com","manufacturer","barrel, indoor, and outdoor saunas","","sales@almostheaven.com","","United States","Not verified","Consultation and retail network","","Strong manuals and configurator","Product-data and installation case-study collaboration","2026-08-10","contacted","Monitor reply; follow up on 2026-08-17 if needed","Initial specification-corrections and buyer-brief pilot inquiry sent from info@backyardsaunapro.com; distinct from almostheaven.net","https://almostheaven.com/pages/download-our-manuals-guides","2026-08-10"
"Ice Barrel","https://icebarrel.com","manufacturer","cold plunge","","affiliates@icebarrel.com","","United States","ShareASale affiliate program","Dealer applications currently closed","","","Affiliate and recovery-newsletter fit","2026-08-06","contacted","Follow up on 2026-08-13 if no reply","General inbox send bounced due to recipient-side forwarding policy; corrected outreach sent to the official affiliate inbox from info@backyardsaunapro.com","https://icebarrel.com/pages/work-with-us","2026-08-05"
"Sunlighten","https://www.sunlighten.com","manufacturer","infrared saunas and recovery products","","","","United States","Referral or partner program via Ambassador","Dealer and commercial teams","","","Infrared buyer-guide and newsletter partnership","","research","Locate current public application after owner review","Program existence confirmed in current official privacy notice","https://shop-us.sunlighten.com/pages/privacy-policy","2026-08-05"
