"URL","Title","Content type","Topic cluster","Search intent","Buyer intent","Word count","Last updated","Organic clicks","Organic impressions","Backlinks","Affiliate clicks","Revenue","Internal links in","Internal links out","Content-quality notes","Existing monetization","Recommended action","Priority","Owner approval required"
"https://backyardsaunapro.com/about/","About Backyard Sauna Pro","trust or utility page","general sauna","informational","Low-medium","176","2026-08-05","","","","","","3","2","No direct monetization component","","Await analytics data","Medium","No"
"https://backyardsaunapro.com/affiliate-disclosure/","Affiliate Disclosure Backyard Sauna Pro","trust or utility page","general sauna","informational","Low-medium","102","2026-03-04","0","13","","","","0","0","No direct monetization component","","Await analytics data","Medium","No"
"https://backyardsaunapro.com/best-saunas/","Best Home Saunas of 2026: Top Picks for Every Budget","buying guide","general sauna","commercial investigation","High","478","2026-05-16","","","","","","16","12","No direct monetization component","","Validate products, methodology, CTA, and traffic","High","No"
"https://backyardsaunapro.com/brands/almost-heaven-sauna-review/","Almost Heaven Saunas Review (2025): Brand Overview and Best Models","brand review","general sauna","commercial investigation","High","932","2026-05-16","","","","","","26","9","","Amazon; Select Saunas","Validate products, methodology, CTA, and traffic","High","No"
"https://backyardsaunapro.com/brands/dundalk-leisurecraft-review/","Dundalk LeisureCraft Sauna Review (2025): Worth It?","brand review","general sauna","commercial investigation","High","672","2026-03-18","","","","","","17","4","","Select Saunas","Validate products, methodology, CTA, and traffic","High","No"
"https://backyardsaunapro.com/brands/dynamic-saunas-review/","Dynamic Saunas Review (2025): Barcelona, Andora, and Which to Buy","brand review","general sauna","commercial investigation","High","730","2026-05-16","","","","","","3","6","","Amazon","Validate products, methodology, CTA, and traffic","High","No"
"https://backyardsaunapro.com/brands/finnish-sauna-builders-review/","Finnish Sauna Builders Review (2025): Who It","brand review","planning and installation","commercial investigation","High","665","2026-03-18","","","","","","0","6","No direct monetization component","","Validate products, methodology, CTA, and traffic","High","No"
"https://backyardsaunapro.com/brands/finnleo-sauna-review/","Finnleo Sauna Review (2025): Quality, Pricing, and Who It","brand review","general sauna","commercial investigation","High","609","2026-05-16","","","","","","1","7","","Amazon","Validate products, methodology, CTA, and traffic","High","No"
"https://backyardsaunapro.com/brands/harvia-sauna-heater-review/","Harvia Sauna Heaters Review (2025): KIP, M3, Cilindro and More","brand review","heaters","commercial investigation","High","740","2026-05-16","0","6","","","","10","8","","Amazon","Validate products, methodology, CTA, and traffic","High","No"
"https://backyardsaunapro.com/brands/huum-sauna-heater-review/","HUUM Sauna Heater Review (2026): DROP vs HIVE","brand review","heaters","commercial investigation","High","546","2026-08-05","0","47","","","","7","5","","Amazon","Monitor revised page indexing and engagement","High","No"
"https://backyardsaunapro.com/brands/","Sauna Brand Reviews | Backyard Sauna Pro","brand hub","general sauna","informational","Low-medium","14","2026-05-15","","","","","","1","0","No direct monetization component","","Await analytics data","Medium","No"
"https://backyardsaunapro.com/brands/redwood-outdoors-sauna-review/","Redwood Outdoors Sauna Review (2026): Buyer Checklist","brand review","outdoor saunas","commercial investigation","High","741","2026-08-05","0","13","","","","3","7","No direct monetization component","","Monitor revised page indexing and engagement","High","No"
"https://backyardsaunapro.com/brands/sun-home-saunas-review/","Sun Home Saunas Review (2026): Equinox, Luminar, Eclipse Compared","brand review","general sauna","commercial investigation","High","883","2026-05-15","","","","","","0","13","","Sun Home","Protected: inspect only","Protected","Yes - Sun Home agreement"
"https://backyardsaunapro.com/contact/","Contact Backyard Sauna Pro","trust or utility page","general sauna","informational","Low-medium","71","2026-08-05","","","","","","3","0","No direct monetization component","","Await analytics data","Medium","No"
"https://backyardsaunapro.com/guides/almost-heaven-barrel-sauna/","Almost Heaven Barrel Sauna Review (2025): Models & Prices","informational guide","barrel saunas","informational","Low-medium","648","2026-05-16","","","","","","1","12","","Amazon","Await analytics data","Medium","No"
"https://backyardsaunapro.com/guides/barrel-sauna-costco/","Costco Barrel Sauna: Is It Worth It? (2025 Review)","planning guide","barrel saunas","informational","Medium-high","541","2026-05-16","","","","","","0","6","","Amazon","Await analytics data","Medium","No"
"https://backyardsaunapro.com/guides/barrel-sauna-vs-cabin-sauna/","Barrel Sauna vs Cabin Sauna: Which Should You Buy? (2025)","comparison","barrel saunas","commercial investigation","Medium-high","375","2026-03-18","","","","","","2","1","","Amazon","Validate products, methodology, CTA, and traffic","High","No"
"https://backyardsaunapro.com/guides/best-1-person-sauna/","Best 1-Person Sauna (2025): Indoor and Outdoor Picks","buying guide","general sauna","commercial investigation","High","726","2026-05-16","","","","","","6","4","","Amazon","Validate products, methodology, CTA, and traffic","High","No"
"https://backyardsaunapro.com/guides/best-2-person-outdoor-sauna/","Best 2-Person Outdoor Saunas of 2026: 4 Top Picks","buying guide","outdoor saunas","commercial investigation","High","143","2026-07-12","0","508","","","","10","1","","Amazon; Sun Home; Kit capture","Validate products, methodology, CTA, and traffic","High","No"
